"","year","month","anom","dec.yr"
"06/01/94",1994,6,0.311354633269271,1994.45833333333
"07/01/94",1994,7,-0.321019066704644,1994.54166666667
"08/01/94",1994,8,0.072756638048787,1994.625
"09/01/94",1994,9,-0.655413472555517,1994.70833333333
"10/01/94",1994,10,-0.788399067028428,1994.79166666667
"11/01/94",1994,11,-1.1798423131307,1994.875
"12/01/94",1994,12,-0.686878708319935,1994.95833333333
"01/01/95",1995,1,-0.300532979370779,1995.04166666667
"02/01/95",1995,2,-0.432255286188306,1995.125
"03/01/95",1995,3,-0.639439191275496,1995.20833333333
"04/01/95",1995,4,-0.969069187557148,1995.29166666667
"05/01/95",1995,5,-0.235727263013845,1995.375
"06/01/95",1995,6,-0.697963188657269,1995.45833333333
"07/01/95",1995,7,-0.497468418545193,1995.54166666667
"08/01/95",1995,8,-1.21550784847601,1995.625
"09/01/95",1995,9,-0.0832224460798226,1995.70833333333
"10/01/95",1995,10,0.0878175035078675,1995.79166666667
"11/01/95",1995,11,-0.551091988881429,1995.875
"12/01/95",1995,12,-0.549981621222768,1995.95833333333
"01/01/96",1996,1,-0.375317205258501,1996.04166666667
"02/01/96",1996,2,-0.226192068601365,1996.125
"03/01/96",1996,3,-0.03423378784159,1996.20833333333
"04/01/96",1996,4,-0.139881185076747,1996.29166666667
"05/01/96",1996,5,0.611368915252892,1996.375
"06/01/96",1996,6,0.109312424491738,1996.45833333333
"07/01/96",1996,7,-0.346552742852105,1996.54166666667
"08/01/96",1996,8,-0.0329960949698762,1996.625
"09/01/96",1996,9,-0.280104164185563,1996.70833333333
"10/01/96",1996,10,-0.760146253477267,1996.79166666667
"11/01/96",1996,11,-0.431437863243951,1996.875
"12/01/96",1996,12,-0.433514781114532,1996.95833333333
"01/01/97",1997,1,-0.617613238693899,1997.04166666667
"02/01/97",1997,2,-0.302357850682122,1997.125
"03/01/97",1997,3,-0.368883933478254,1997.20833333333
"04/01/97",1997,4,-0.318292960241881,1997.29166666667
"05/01/97",1997,5,0.151358492652252,1997.375
"06/01/97",1997,6,1.06788301080223,1997.45833333333
"07/01/97",1997,7,1.83037312825521,1997.54166666667
"08/01/97",1997,8,1.7989095879118,1997.625
"09/01/97",1997,9,1.41174692190113,1997.70833333333
"10/01/97",1997,10,0.515687512188423,1997.79166666667
"11/01/97",1997,11,0.452743901146783,1997.875
"12/01/97",1997,12,0.266233893913951,1997.95833333333
"01/01/98",1998,1,-0.199299417537079,1998.04166666667
"02/01/98",1998,2,0.403010562183411,1998.125
"03/01/98",1998,3,0.886371871643273,1998.20833333333
"04/01/98",1998,4,0.79794502452137,1998.29166666667
"05/01/98",1998,5,0.243048132273563,1998.375
"06/01/98",1998,6,-0.5111131177039,1998.45833333333
"07/01/98",1998,7,0.0741790135701497,1998.54166666667
"08/01/98",1998,8,0.166434794583618,1998.625
"09/01/98",1998,9,-0.408400592442127,1998.70833333333
"10/01/98",1998,10,-0.0597735575544155,1998.79166666667
"11/01/98",1998,11,0.681387954288059,1998.875
"12/01/98",1998,12,0.358093128617863,1998.95833333333
"01/01/99",1999,1,0.308639046945546,1999.04166666667
"02/01/99",1999,2,-0.171508780662929,1999.125
"03/01/99",1999,3,-0.357995383461639,1999.20833333333
"04/01/99",1999,4,-0.864738276980434,1999.29166666667
"05/01/99",1999,5,-1.33301454701721,1999.375
"06/01/99",1999,6,-1.57904572344731,1999.45833333333
"07/01/99",1999,7,-1.25057866838243,1999.54166666667
"08/01/99",1999,8,-0.941519124721124,1999.625
"09/01/99",1999,9,-0.8130478897715,1999.70833333333
"10/01/99",1999,10,-0.834825999045437,1999.79166666667
"11/01/99",1999,11,-0.899077574412028,1999.875
"12/01/99",1999,12,-0.821185351064212,1999.95833333333
"01/01/00",2000,1,-0.54164635069002,2000.04166666667
"02/01/00",2000,2,-0.897261637659254,2000.125
"03/01/00",2000,3,-0.370298947745222,2000.20833333333
"04/01/00",2000,4,-0.259030790509893,2000.29166666667
"05/01/00",2000,5,-0.121892034199826,2000.375
"06/01/00",2000,6,-0.106363777222672,2000.45833333333
"07/01/00",2000,7,-0.512694994608561,2000.54166666667
"08/01/00",2000,8,-0.564030140719117,2000.625
"09/01/00",2000,9,-0.688633763693212,2000.70833333333
"10/01/00",2000,10,-0.675634072725043,2000.79166666667
"11/01/00",2000,11,-0.488337516784668,2000.875
"12/01/00",2000,12,0.00236243607229003,2000.95833333333
"01/01/01",2001,1,0.324822635185428,2001.04166666667
"02/01/01",2001,2,0.50433096136181,2001.125
"03/01/01",2001,3,0.336429696095991,2001.20833333333
"04/01/01",2001,4,0.192405914549582,2001.29166666667
"05/01/01",2001,5,0.0819467380440978,2001.375
"06/01/01",2001,6,0.273764447468083,2001.45833333333
"07/01/01",2001,7,-0.203270276387533,2001.54166666667
"08/01/01",2001,8,0.0378914706429168,2001.625
"09/01/01",2001,9,-0.215752552518353,2001.70833333333
"10/01/01",2001,10,-0.133872144590548,2001.79166666667
"11/01/01",2001,11,-0.724964247809516,2001.875
"12/01/01",2001,12,-0.517206060207956,2001.95833333333
"01/01/02",2002,1,-0.492070200643565,2002.04166666667
"02/01/02",2002,2,-0.324980303523986,2002.125
"03/01/02",2002,3,-0.588011456052785,2002.20833333333
"04/01/02",2002,4,-0.58753779005552,2002.29166666667
"05/01/02",2002,5,0.0583873796592237,2002.375
"06/01/02",2002,6,-0.00811169270254395,2002.45833333333
"07/01/02",2002,7,0.318463113572862,2002.54166666667
"08/01/02",2002,8,0.0856035847650956,2002.625
"09/01/02",2002,9,-0.0464139023447423,2002.70833333333
"10/01/02",2002,10,0.247600972813966,2002.79166666667
"11/01/02",2002,11,1.10783905453152,2002.875
"12/01/02",2002,12,1.18613187407413,2002.95833333333
"01/01/03",2003,1,0.902330713866526,2003.04166666667
"02/01/03",2003,2,0.997737892921055,2003.125
"03/01/03",2003,3,1.04249402630297,2003.20833333333
"04/01/03",2003,4,0.292315538013531,2003.29166666667
"05/01/03",2003,5,0.348714822676124,2003.375
"06/01/03",2003,6,0.146071165234739,2003.45833333333
"07/01/03",2003,7,0.701821327209473,2003.54166666667
"08/01/03",2003,8,0.415647165562079,2003.625
"09/01/03",2003,9,0.526318493251232,2003.70833333333
"10/01/03",2003,10,0.874292473159831,2003.79166666667
"11/01/03",2003,11,0.527069144778782,2003.875
"12/01/03",2003,12,-0.112710026221547,2003.95833333333
"01/01/04",2004,1,-0.444258480537228,2004.04166666667
"02/01/04",2004,2,-0.364922223698479,2004.125
