"","year","month","anom","dec.yr"
"01/01/94",1994,1,0.497922079273002,1994.04166666667
"02/01/94",1994,2,0.312770561566429,1994.125
"03/01/94",1994,3,0.458753068611105,1994.20833333333
"04/01/94",1994,4,-0.0579961721228544,1994.29166666667
"05/01/94",1994,5,-0.261631303363376,1994.375
"06/01/94",1994,6,0.311252207983108,1994.45833333333
"07/01/94",1994,7,-0.320656314728752,1994.54166666667
"08/01/94",1994,8,0.0716111142799334,1994.625
"09/01/94",1994,9,-0.654388220852645,1994.70833333333
"10/01/94",1994,10,-0.764616552484099,1994.79166666667
"11/01/94",1994,11,-1.16186471969362,1994.875
"12/01/94",1994,12,-0.658484221766235,1994.95833333333
"01/01/95",1995,1,-0.307074093314075,1995.04166666667
"02/01/95",1995,2,-0.437163184559534,1995.125
"03/01/95",1995,3,-0.642163661421922,1995.20833333333
"04/01/95",1995,4,-0.968636862184636,1995.29166666667
"05/01/95",1995,5,-0.2332251601749,1995.375
"06/01/95",1995,6,-0.698065613943433,1995.45833333333
"07/01/95",1995,7,-0.497105666569301,1995.54166666667
"08/01/95",1995,8,-1.21665337224486,1995.625
"09/01/95",1995,9,-0.0821971943769506,1995.70833333333
"10/01/95",1995,10,0.111600018052197,1995.79166666667
"11/01/95",1995,11,-0.533114395444355,1995.875
"12/01/95",1995,12,-0.521587134669067,1995.95833333333
"01/01/96",1996,1,-0.381858319201797,1996.04166666667
"02/01/96",1996,2,-0.231099966972593,1996.125
"03/01/96",1996,3,-0.0369582579880164,1996.20833333333
"04/01/96",1996,4,-0.139448859704235,1996.29166666667
"05/01/96",1996,5,0.613871018091838,1996.375
"06/01/96",1996,6,0.109209999205574,1996.45833333333
"07/01/96",1996,7,-0.346189990876213,1996.54166666667
"08/01/96",1996,8,-0.0341416187387298,1996.625
"09/01/96",1996,9,-0.279078912482691,1996.70833333333
"10/01/96",1996,10,-0.736363738932937,1996.79166666667
"11/01/96",1996,11,-0.413460269806877,1996.875
"12/01/96",1996,12,-0.405120294560831,1996.95833333333
"01/01/97",1997,1,-0.624154352637195,1997.04166666667
"02/01/97",1997,2,-0.307265749053349,1997.125
"03/01/97",1997,3,-0.371608403624681,1997.20833333333
"04/01/97",1997,4,-0.317860634869369,1997.29166666667
"05/01/97",1997,5,0.153860595491197,1997.375
"06/01/97",1997,6,1.06778058551607,1997.45833333333
"07/01/97",1997,7,1.8307358802311,1997.54166666667
"08/01/97",1997,8,1.79776406414294,1997.625
"09/01/97",1997,9,1.41277217360401,1997.70833333333
"10/01/97",1997,10,0.539470026732753,1997.79166666667
"11/01/97",1997,11,0.470721494583856,1997.875
"12/01/97",1997,12,0.294628380467652,1997.95833333333
"01/01/98",1998,1,-0.205840531480375,1998.04166666667
"02/01/98",1998,2,0.398102663812183,1998.125
"03/01/98",1998,3,0.883647401496847,1998.20833333333
"04/01/98",1998,4,0.798377349893883,1998.29166666667
"05/01/98",1998,5,0.245550235112508,1998.375
"06/01/98",1998,6,-0.511215542990064,1998.45833333333
"07/01/98",1998,7,0.0745417655460417,1998.54166666667
"08/01/98",1998,8,0.165289270814764,1998.625
"09/01/98",1998,9,-0.407375340739255,1998.70833333333
"10/01/98",1998,10,-0.035991043010086,1998.79166666667
"11/01/98",1998,11,0.699365547725132,1998.875
"12/01/98",1998,12,0.386487615171564,1998.95833333333
"01/01/99",1999,1,0.30209793300225,1999.04166666667
"02/01/99",1999,2,-0.176416679034157,1999.125
"03/01/99",1999,3,-0.360719853608066,1999.20833333333
"04/01/99",1999,4,-0.864305951607921,1999.29166666667
"05/01/99",1999,5,-1.33051244417826,1999.375
"06/01/99",1999,6,-1.57914814873347,1999.45833333333
"07/01/99",1999,7,-1.25021591640654,1999.54166666667
"08/01/99",1999,8,-0.942664648489978,1999.625
"09/01/99",1999,9,-0.812022638068628,1999.70833333333
"10/01/99",1999,10,-0.811043484501107,1999.79166666667
"11/01/99",1999,11,-0.881099980974954,1999.875
"12/01/99",1999,12,-0.792790864510511,1999.95833333333
"01/01/00",2000,1,-0.548187464633316,2000.04166666667
"02/01/00",2000,2,-0.902169536030482,2000.125
"03/01/00",2000,3,-0.373023417891649,2000.20833333333
"04/01/00",2000,4,-0.258598465137381,2000.29166666667
"05/01/00",2000,5,-0.119389931360881,2000.375
"06/01/00",2000,6,-0.106466202508835,2000.45833333333
"07/01/00",2000,7,-0.512332242632669,2000.54166666667
"08/01/00",2000,8,-0.56517566448797,2000.625
"09/01/00",2000,9,-0.68760851199034,2000.70833333333
"10/01/00",2000,10,-0.651851558180713,2000.79166666667
"11/01/00",2000,11,-0.470359923347594,2000.875
"12/01/00",2000,12,0.0307569226259907,2000.95833333333
"01/01/01",2001,1,0.318281521242132,2001.04166666667
"02/01/01",2001,2,0.499423062990582,2001.125
"03/01/01",2001,3,0.333705225949565,2001.20833333333
"04/01/01",2001,4,0.192838239922095,2001.29166666667
"05/01/01",2001,5,0.0844488408830431,2001.375
"06/01/01",2001,6,0.27366202218192,2001.45833333333
"07/01/01",2001,7,-0.202907524411641,2001.54166666667
"08/01/01",2001,8,0.0367459468740632,2001.625
"09/01/01",2001,9,-0.214727300815481,2001.70833333333
"10/01/01",2001,10,-0.110089630046219,2001.79166666667
"11/01/01",2001,11,-0.706986654372442,2001.875
"12/01/01",2001,12,-0.488811573654256,2001.95833333333
"01/01/02",2002,1,-0.498611314586861,2002.04166666667
"02/01/02",2002,2,-0.329888201895214,2002.125
"03/01/02",2002,3,-0.590735926199212,2002.20833333333
"04/01/02",2002,4,-0.587105464683008,2002.29166666667
"05/01/02",2002,5,0.0608894824981689,2002.375
"06/01/02",2002,6,-0.00821411798870732,2002.45833333333
"07/01/02",2002,7,0.318825865548754,2002.54166666667
"08/01/02",2002,8,0.084458060996242,2002.625
"09/01/02",2002,9,-0.0453886506418703,2002.70833333333
"10/01/02",2002,10,0.271383487358295,2002.79166666667
"11/01/02",2002,11,1.12581664796859,2002.875
"12/01/02",2002,12,1.21452636062784,2002.95833333333
"01/01/03",2003,1,0.89578959992323,2003.04166666667
"02/01/03",2003,2,0.992829994549827,2003.125
"03/01/03",2003,3,1.03976955615654,2003.20833333333
"04/01/03",2003,4,0.292747863386043,2003.29166666667
"05/01/03",2003,5,0.351216925515069,2003.375
"06/01/03",2003,6,0.145968739948576,2003.45833333333
"07/01/03",2003,7,0.702184079185365,2003.54166666667
"08/01/03",2003,8,0.414501641793226,2003.625
"09/01/03",2003,9,0.527343744954104,2003.70833333333
"10/01/03",2003,10,0.898074987704161,2003.79166666667
"11/01/03",2003,11,0.545046738215855,2003.875
"12/01/03",2003,12,-0.0843155396678462,2003.95833333333
"01/01/04",2004,1,-0.450799594480524,2004.04166666667
"02/01/04",2004,2,-0.369830122069707,2004.125
"03/01/04",2004,3,-0.249519229565979,2004.20833333333
"04/01/04",2004,4,-0.107545009996525,2004.29166666667
"05/01/04",2004,5,0.441811535093519,2004.375
"06/01/04",2004,6,0.349647082979717,2004.45833333333
